Amostra,Acel_X,Acel_Y,Acel_Z,Giro_X,Giro_Y,Giro_Z,Temperatura
1,2.857,-0.381,9.856,2.427,1.420,0.954,16.06
2,-1.674,0.903,11.182,4.023,-3.985,-0.359,16.06
3,-4.910,1.116,10.006,1.901,-4.695,0.397,16.15
4,3.240,0.402,9.618,3.076,6.740,-0.061,16.15
5,-3.997,-0.333,8.950,-0.908,0.809,3.344,16.25
6,-0.417,-0.311,11.352,4.130,-2.939,-1.153,16.15
7,3.969,1.614,9.202,-2.916,7.649,1.481,16.25
8,-5.643,0.599,9.841,5.397,-2.626,-1.557,16.25
9,0.235,0.069,11.532,-2.130,-1.466,0.076,16.34
10,-0.709,1.212,8.627,-0.023,6.046,-0.809,16.25
11,-4.551,0.043,9.487,3.847,0.450,-3.641,16.15
12,-1.978,0.481,11.491,1.397,-2.015,1.298,16.15
13,-3.581,-0.572,9.381,3.954,0.885,-0.519,16.06
14,-2.007,1.921,11.106,-1.893,-3.206,2.542,16.25
15,1.346,2.599,9.731,1.924,7.847,1.756,16.25
16,-5.262,-0.563,9.171,-2.664,-0.855,1.771,16.25
17,2.407,-0.091,9.927,4.969,0.344,1.855,16.34
18,1.947,1.468,10.145,-2.443,7.466,1.298,16.20
19,-4.189,0.977,10.445,2.832,-4.221,-0.588,16.06
20,2.050,-0.362,10.509,0.412,0.267,-0.053,16.44
21,-4.757,-1.116,9.024,-0.252,2.733,1.901,16.15
22,0.592,-0.867,10.188,3.061,-0.748,-2.229,16.34
23,-4.615,0.189,9.994,-0.115,3.328,0.412,16.25
24,0.953,1.734,9.472,2.107,8.008,0.076,16.39
25,-4.651,1.035,10.605,-2.122,-4.687,1.405,16.25
26,2.800,-0.151,10.323,5.611,1.069,1.206,16.34
27,-4.596,0.690,9.781,2.786,0.802,-3.282,16.39
28,-2.393,0.000,9.487,3.328,4.015,-1.053,16.01
29,0.903,-0.422,10.766,-1.870,-1.351,-0.359,15.92
30,3.353,2.136,9.642,0.557,6.817,0.962,16.25
31,-4.907,0.060,9.463,0.786,-0.679,-0.573,16.01
32,-0.177,0.201,11.122,0.656,-2.840,1.710,16.15
33,-0.719,1.569,9.513,2.092,6.756,-1.267,16.25
34,0.101,1.116,10.263,-2.870,-3.344,1.519,16.25
35,1.660,-0.659,10.435,5.664,1.008,-0.237,16.20
36,-4.323,-0.311,9.194,-3.359,1.389,1.611,16.25
37,-5.825,-0.014,9.999,5.160,-3.191,-1.649,16.20
38,3.997,0.235,9.992,-1.504,5.695,-0.160,16.20
39,0.182,1.796,8.864,1.305,7.168,0.023,16.01
40,-1.564,1.272,9.963,-1.168,-4.298,-0.802,16.25
41,0.369,0.287,10.368,2.244,-0.603,1.290,16.39
42,-1.940,1.099,9.132,1.504,4.885,-2.176,16.15
43,1.169,-0.438,10.802,-0.015,-1.374,2.275,16.06
44,2.493,2.390,10.220,2.267,7.916,1.229,16.20
45,-4.565,-0.582,9.096,-2.191,-1.450,2.160,16.25
46,-0.800,0.187,11.043,5.000,-2.557,0.366,16.01
47,1.571,2.144,10.069,-3.183,7.198,1.260,16.06
48,-3.672,-0.510,9.223,3.618,-0.137,-0.893,16.34
49,-0.462,0.168,11.170,-2.107,-2.992,0.198,16.25
50,2.263,2.637,9.135,-0.435,6.962,0.580,16.20
51,-3.355,0.467,9.209,1.626,2.145,-1.397,16.20
