Amostra,Acel_X,Acel_Y,Acel_Z,Giro_X,Giro_Y,Giro_Z,Temperatura
1,-3.334,1.454,9.786,1.992,-2.756,1.924,16.34
2,1.008,-0.381,9.966,3.328,5.015,1.466,16.34
3,-0.271,-1.027,10.490,1.611,-2.527,2.878,16.15
4,1.320,-0.934,10.368,0.366,3.366,4.031,16.25
5,-3.892,0.304,10.260,-1.313,-1.687,1.359,16.25
6,-2.151,-0.419,10.279,-2.168,-2.160,1.641,16.25
7,-1.305,0.891,9.530,-2.038,4.557,0.229,16.06
8,-3.901,1.171,9.654,-2.908,-1.366,-2.611,15.87
9,2.021,0.572,9.460,-0.863,5.267,-0.481,16.06
10,0.055,1.449,9.460,-1.198,5.275,-2.466,16.25
11,-2.024,2.211,9.841,-1.511,2.519,-3.366,16.15
12,-2.738,1.782,9.863,-1.282,-2.519,-2.450,16.06
13,2.462,1.011,9.369,2.550,4.580,-1.076,16.06
14,-0.723,2.352,9.132,1.641,3.244,-2.817,16.15
15,-1.789,1.526,10.335,2.458,-3.458,-0.718,16.06
16,1.880,-0.350,10.385,4.763,2.542,2.656,16.06
17,-0.948,1.324,9.580,3.130,3.733,0.924,16.34
18,-2.591,0.960,10.126,2.076,-3.069,2.763,16.25
19,1.063,-0.465,10.033,3.237,1.939,4.359,16.15
20,-0.857,0.651,9.839,3.008,4.748,1.595,16.15
21,-3.909,0.268,10.421,0.847,-2.878,1.969,16.25
22,-3.597,-0.144,10.236,-1.748,-2.382,2.389,16.15
23,-2.170,-0.857,10.442,-1.481,-2.053,1.649,16.15
24,-1.291,0.857,9.508,-2.511,5.076,0.214,16.25
25,-2.637,1.564,9.815,-2.924,1.458,-3.290,16.06
26,-0.026,0.101,10.227,-0.687,1.137,-0.420,16.15
27,1.995,1.059,9.432,0.015,5.069,-1.443,16.06
28,-4.079,1.621,9.834,-2.527,-0.992,-3.771,16.06
29,-2.230,1.346,10.181,-1.382,-2.718,-2.580,15.92
30,0.678,2.424,9.094,1.168,6.420,-1.496,16.15
31,-1.461,2.448,9.441,1.397,3.550,-3.687,16.06
32,0.321,1.193,9.616,2.229,-1.053,-2.046,16.06
33,-0.536,2.225,9.300,2.809,3.496,-1.809,16.25
34,-2.512,1.332,10.358,2.656,-3.336,0.076,16.06
35,1.643,0.201,10.069,3.519,2.305,3.023,16.25
36,-0.805,1.368,9.659,3.321,4.084,1.366,16.25
37,-2.941,0.841,10.243,1.832,-3.176,2.130,15.92
38,0.692,-0.424,9.872,2.672,0.924,4.061,16.25
39,-3.633,0.860,9.963,1.435,-0.550,1.328,15.92
40,-3.473,0.101,10.258,1.229,-3.282,2.588,16.25
41,-1.959,-0.922,10.682,-0.534,-1.496,3.840,16.15
42,1.272,-1.049,10.267,-0.366,2.221,2.260,16.39
43,2.290,-0.469,9.805,3.069,4.740,3.351,16.15
44,-2.783,1.408,9.860,-3.076,1.634,-2.893,16.01
45,2.146,-1.193,10.059,3.481,3.374,2.573,16.25
46,-1.978,1.672,9.549,-2.160,3.015,-2.893,16.25
47,1.712,-1.157,10.217,1.466,3.168,4.336,16.01
48,2.256,0.508,9.846,0.931,5.053,-0.267,16.15
49,-2.891,-0.544,10.421,-2.092,-3.084,1.115,16.01
50,-0.977,0.881,10.045,1.107,-1.237,-2.664,16.01
51,-4.033,1.317,9.776,-3.374,1.634,-1.901,16.39
52,-1.116,1.095,10.002,1.634,-1.351,-2.527,15.92
53,-2.912,1.293,9.985,-2.267,2.977,-2.328,16.25
54,2.771,0.742,9.611,3.313,4.901,-1.046,16.25
55,-2.405,2.455,9.791,1.466,-0.374,-1.924,15.82
56,0.177,0.055,10.514,3.863,-1.137,0.924,16.01
57,0.798,0.663,9.549,3.954,4.527,1.740,16.15
58,-3.293,1.528,10.121,2.122,-1.656,2.710,16.15
59,1.382,-0.184,10.141,4.015,2.031,2.649,16.15
60,-1.449,0.884,9.688,2.679,3.275,2.076,16.44
61,-3.161,0.750,10.069,1.137,-2.076,3.153,16.25
62,2.855,-0.541,9.927,3.802,3.992,2.603,16.06
63,-3.856,0.314,10.263,1.779,-0.435,2.008,16.01
64,-1.897,-0.898,10.514,0.542,-1.710,4.443,15.73
65,1.578,-0.992,10.445,-0.038,3.534,3.015,16.06
66,-2.649,1.303,9.992,1.580,-2.885,2.168,16.01
67,-4.112,1.389,9.896,-3.916,-0.618,-2.023,16.25
68,1.296,0.316,9.429,-1.519,2.962,-0.305,16.06
69,-2.338,1.447,9.707,-1.840,4.786,-1.405,15.87
70,0.457,-1.351,10.303,2.832,0.794,3.023,16.06
71,1.523,0.163,9.968,-0.069,3.817,-0.878,16.25
72,-3.916,0.338,10.291,-1.557,-2.336,2.061,16.15
73,1.217,0.587,9.939,-0.031,2.321,-0.901,16.06
74,-4.352,0.247,10.349,-2.916,-2.267,1.031,16.34
75,-0.134,1.118,9.844,0.855,1.443,-0.618,16.01
76,-1.380,1.214,9.276,-2.191,5.740,-0.481,15.92
77,-1.303,1.983,9.501,3.626,2.427,-2.252,16.06
78,0.845,0.299,10.471,3.573,-1.603,0.290,16.34
79,2.340,0.172,9.889,4.618,5.534,2.031,16.06
80,-3.631,1.267,10.164,-2.137,-2.565,-3.046,16.25
81,0.134,-0.007,10.289,3.626,-0.115,2.305,16.34
82,0.551,0.268,9.673,3.313,4.824,3.046,16.25
83,-2.826,0.505,10.179,1.275,-2.389,3.023,16.15
84,2.388,-0.410,9.894,3.267,5.153,2.519,15.92
85,-3.217,0.223,10.081,2.260,0.748,1.649,15.92
86,1.526,-0.010,10.270,3.992,0.565,2.000,16.06
87,1.353,-0.831,9.973,-0.061,4.229,2.763,16.25
88,2.429,-0.206,9.594,2.954,5.328,2.565,16.15
89,-3.451,0.663,9.846,-1.893,3.344,0.481,16.15
90,2.225,-0.410,9.872,4.313,2.954,2.779,16.25
91,-3.365,0.005,10.248,0.855,0.160,2.870,15.92
92,-3.226,1.461,10.114,1.855,-2.504,2.244,16.01
93,2.297,-0.328,10.119,4.198,4.473,1.878,15.92
94,-3.763,1.224,9.887,1.695,-2.023,2.252,16.39
95,1.995,-0.719,9.879,3.626,3.733,4.099,16.25
96,-3.777,1.195,9.848,1.206,-0.969,1.710,16.15
97,-2.972,-0.386,10.478,1.588,-2.496,2.847,16.01
98,1.686,-0.915,10.323,0.527,3.298,4.107,15.82
99,-3.760,0.192,10.325,-1.260,-2.130,2.649,16.06
100,0.069,-1.202,10.449,2.710,-0.290,3.000,16.01
101,-3.478,-0.141,10.299,1.473,-0.901,1.611,16.06
102,-1.078,-0.668,10.426,-0.580,-1.084,4.321,15.92
103,-3.492,0.546,10.009,-0.718,1.023,2.214,16.25
104,-1.789,-0.795,10.548,-0.977,-2.687,1.992,16.06
105,-3.564,0.364,9.853,-2.122,2.366,1.069,15.92
106,-4.148,0.845,9.841,-2.557,-2.359,-1.321,16.15
107,-4.170,1.075,10.145,-2.099,-2.931,-2.267,16.01
108,-1.753,0.457,10.378,-1.527,-2.420,-2.565,16.39
109,1.763,0.319,9.578,-0.321,6.206,-0.252,16.06
110,-4.462,1.269,10.112,-2.847,-1.641,-4.023,16.15
111,-0.287,-0.496,10.018,1.305,4.771,3.061,16.06
112,-2.510,0.314,10.045,-2.321,-1.237,0.206,16.34
113,-1.015,-0.958,10.435,1.885,-0.939,3.366,16.25
114,-1.293,-0.022,10.061,0.924,3.733,2.893,16.01
115,-2.163,0.445,9.913,2.000,-2.221,2.870,16.06
116,0.321,0.362,9.719,3.168,5.481,2.153,15.92
117,-3.722,-0.220,10.569,1.214,-3.076,2.076,16.01
118,-0.354,-0.992,10.502,-0.084,-0.718,3.359,16.06
119,1.492,-0.910,10.227,0.038,5.221,2.863,16.15
120,-3.844,-0.285,10.346,-2.275,-2.397,1.107,16.06
121,1.657,-0.263,9.662,-1.237,4.420,0.992,16.25
122,-3.602,0.893,9.853,-3.420,-2.328,-2.176,15.92
123,0.127,0.117,10.133,-0.794,1.504,-0.756,16.15
124,0.666,0.366,10.212,-0.160,1.908,-1.382,15.92
125,-0.290,2.218,9.623,-0.298,5.427,-2.130,16.06
126,0.271,0.951,9.908,-0.779,-1.252,-1.260,16.01
127,2.591,1.106,9.633,2.458,6.786,-1.740,16.25
128,-1.727,1.375,10.083,1.176,-1.969,-2.611,16.25
129,-1.799,0.661,10.461,3.641,-2.069,0.435,16.20
130,0.778,0.910,9.650,4.061,5.084,2.084,16.39
131,-1.787,0.810,10.205,1.458,-2.405,2.450,16.06
132,1.348,0.479,9.779,4.412,5.099,2.924,16.06
133,-3.995,1.277,9.824,1.435,-3.221,3.084,15.92
134,2.079,-0.778,9.915,4.328,4.702,3.870,16.15
135,-3.767,1.044,9.769,1.206,-1.084,1.832,16.01
136,2.520,-0.453,9.966,3.603,2.282,3.046,16.15
137,-3.430,-0.172,10.457,1.466,0.107,2.206,16.06
138,0.311,-1.358,10.435,1.038,0.847,4.061,16.06
139,1.581,-0.508,10.069,0.092,4.511,3.359,16.25
140,-3.164,0.774,9.657,-2.863,2.557,-0.870,16.06
141,1.178,-0.438,9.750,-1.336,3.344,1.282,16.15
142,-1.897,1.636,9.477,-2.481,4.534,-1.870,16.06
143,1.049,0.081,9.762,-0.771,0.328,-0.473,15.92
144,1.015,1.049,9.513,-1.321,6.237,-1.557,15.73
145,-1.171,0.460,10.143,-0.832,-1.634,-2.046,16.25
146,1.624,0.881,9.669,0.382,5.954,-0.992,16.15
147,1.844,1.794,9.580,1.809,5.595,-1.290,16.06
148,-2.397,2.558,9.604,0.214,1.618,-3.191,15.87
149,-2.563,1.358,9.951,3.534,-0.061,-0.733,16.25
150,-3.001,1.736,9.647,1.840,-0.229,1.252,15.92
151,1.209,-0.115,10.251,3.489,1.191,3.405,16.15
152,-3.092,1.159,9.920,2.328,1.282,1.664,16.15
153,0.733,-0.453,9.935,2.397,-0.092,3.817,15.92
154,-0.093,0.776,9.772,2.359,3.847,1.275,16.15
155,-1.358,-0.307,10.351,2.756,-2.237,1.969,16.06
156,0.012,-0.414,10.210,2.702,5.130,1.779,16.06
157,-2.292,-0.776,10.624,0.015,-2.924,3.824,16.01
158,1.849,-0.819,10.208,0.916,5.405,3.298,16.15
159,-4.024,0.364,10.387,-1.901,-2.168,2.260,15.82
160,-2.450,1.353,9.530,-3.198,2.481,-1.626,16.06
161,-4.002,0.922,9.841,-3.885,0.786,-1.412,16.06
162,0.635,0.125,9.724,-1.863,0.534,-0.458,16.34
163,-1.329,1.466,9.539,-2.710,3.969,-2.046,16.15
164,-1.377,0.228,10.313,-1.779,-2.000,-2.725,16.25
